Year,Police Service,City,Province,Civilian Consequences,Investigation Final Decision,Link
,London Police Service,Collingwood,Ontario,He was ultimately diagnosed with an eye injury,,https://www.siu.on.ca/en/directors_report_details.php?drid=2439
,Niagara Regional Police Service,Milton,Ontario,She was transported to hospital and treated for ‘toxic ingestion’,"The offences that arise for consideration are failure to provide the necessaries of life and criminal negligence causing bodily harm contrary to sections 215 and 221 of theCriminal Code, respectively.  Both require something more than a simple want of care to give rise to liability.  The former is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have exercised in the circumstances.  The latter is premised on even more egregious conduct that demonstrates a wanton or reckless disregard for the lives or safety of other persons.  It is not made out unless the neglect constitutes a marked and substantial departure from a reasonable standard of care.  In the instant case, the question is whether there was any want of care on the part of any police officer, sufficiently serious to attract criminal sanction, that endangered the Complainant’s life or contributed to her medical episode.  In my view, there was not.The Complainant was lawfully in police custody at the time of the events under investigation.  She was discovered residing at an address in contravention of a condition of her bail and was subject to arrest on that basis.As for her time in police custody, I am satisfied that the officers who dealt with her and were responsible for her care comported themselves with due regard for the Complainant’s health and wellbeing.  The record up to the point she was able to access the bottle of cleaning solution suggests she was regularly monitored in her cell.  The fact that she was able to access the cleaning solution in the manner she did, by slipping her arm through the gap between the floor and the bottom of the cell door, is a matter of some concern, but I am unable to visit these failings on any of the Complainant’s custodians during her time in custody.[3]Nothing less than continual, uninterrupted monitoring of the Complainant could have avoided that contingency from materializing, and I am not satisfied that such oversight was called for in the circumstances.  Nor would it appear that the involved officers failed to act with the requisite dispatch once alerted to the Complainant’s plight.  As soon as she learned of the possibility that the Complainant had consumed a cleaning solution,WO#2 acted with haste in having her condition checked and arranging for medical intervention.In the result, as there are no reasonable grounds to believe that any officer transgressed the limits of care prescribed by the criminal law in the course of the Complainant’s time in custody, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	June 14, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2435
,Toronto Police Service,Niagara,Ontario,He subsequently complained of pain to his left wrist and was transported to hospital where he was diagnosed with a fracture in the area,Special Investigations Unit,https://www.siu.on.ca/en/directors_report_details.php?drid=2437
,Peel Regional Police,Erin,Ontario,There he was treated for drug overdose and high blood pressure,,https://www.siu.on.ca/en/directors_report_details.php?drid=2426
,Sault Ste. Marie Police Service,Niagara,Ontario,n r\n The evidence collected by the SIU including interviews with the Complainant and a number of officers present at the time of the events in question gives rise to the following scenario As was his legal right the SO chose not to interview with the SIU or authorize the release of his notes In the morning of November 4 2021 the Complainant was an occupant of a Dodge Charger parked in the rear lot of an apartment building on Pine Street Sault Ste Marie With him in the vehicle were three other persons The Complainant and his associates had been in the Charger a short time when several police cruisers pulled up and blocked their vehicle after which officers exiting the cruisers confronted them at gunpoint The SO was a member of the SSMPS Emergency Services Unit ESU and present at the time of the takedown of the Charger He and other members of the ESU had been called to assist in the arrest of the vehicle’s occupants when an officer had earlier that morning recognized the Complainant and the front seat passenger as individuals wanted on outstanding arrest warrants Each of the four individuals were ordered out of the Charger by the officers and surrendered to police without incident The Complainant the last to exit was handcuffed and searched prior to being placed inside a cruiser for transport to the police station The Complainant was subjected to a strip search at the police station in the course of which illicit drugs were discovered when he removed his underwear n,,https://www.siu.on.ca/en/directors_report_details.php?drid=2449
,Ontario Provincial Police,Grey,Ontario,On January 22 2023 the Complainant was transported to the Thunder Bay Regional Health Sciences Centre and treated for respiratory failure and an altered mental state,,https://www.siu.on.ca/en/directors_report_details.php?drid=2413
,Toronto Police Service,Lakeshore,Ontario,Following his arrest the Complainant was transported to hospital and diagnosed with a left-sided rib fracture,Special Investigations Unit,https://www.siu.on.ca/en/directors_report_details.php?drid=2412
,Cornwall Police Service,Cornwall,Ontario,r\n Following his arrest the Complainant was taken to a police facility and then to hospital where he was diagnosed with a fractured left clavicle,,https://www.siu.on.ca/en/directors_report_details.php?drid=2406
,Toronto Police Service,Niagara,Ontario,Following his arrest the Complainant was taken first to the police station and then to hospital where he was diagnosed with a broken nose,,https://www.siu.on.ca/en/directors_report_details.php?drid=2404
,Toronto Police Service,Niagara,Ontario,He was transported to hospital in ambulance and eventually diagnosed with a left clavicular dislocation,,https://www.siu.on.ca/en/directors_report_details.php?drid=2372
,,Durham,Ontario,He was diagnosed with a spinal fracture incurred in the fall and self-inflicted stab wounds,"The offence that arises for consideration is criminal negligence causing bodily harm contrary to section 221 of theCriminal Code.  The offence is reserved for serious cases of neglect that demonstrate a wanton or reckless disregard for the lives or safety of other persons.  It is predicated, in part, on conduct that amounts to a marked and substantial departure from the level of care that a reasonable person would have exercised in the circumstances.  In the instant case, the question is whether there was a want of care on the part of theSO, sufficiently egregious to attract criminal sanction, that caused or contributed to the Complainant’s injuries.  In my view, there was not.TheSOwas lawfully placed and in the execution of his duties throughout his brief engagement in the events culminating in the Complainant’s fall.  He arrived quickly at the address and, appreciating that time was of the essence if they were going to prevent further harm coming to the Complainant, acted with dispatch in trying to gain access to the interior of the residence.  Regrettably, the Complainant acted so quickly that there was little, if anything, the subject official, or any of the other officers on scene, could do to prevent him jumping from the window.  Indeed, it is not entirely clear that the Complainant was even aware of the police presence when he broke the bathroom window and jumped.In the result, as there are no reasonable grounds to believe that theSOtransgressed the limits of care prescribed by the criminal law in relation to the Complainant’s fall and injuries, there is no basis for proceeding with criminal charges.  The file is closed.Date:	April 21, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2369
,Ontario Provincial Police,Middlesex,Ontario,He was diagnosed with a broken nose,,https://www.siu.on.ca/en/directors_report_details.php?drid=2364
,Ontario Provincial Police,Essex,Ontario,Paramedics were called to the scene and transported the Complainant to hospital where he was diagnosed with multiple fractures and a subarachnoid hemorrhage,"The offences that arise for consideration are dangerous driving causing bodily harm and criminal negligence causing bodily harm contrary to sections 320.13(2) and 221 of theCriminal Code, respectively.  As an offence of penal negligence, a simple want of care will not suffice to give rise to liability in respect of either offence.  The former, for example, is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have observed in the circumstances.  The latter is premised on even more egregious conduct that demonstrates a wanton or reckless disregard for the lives or safety of other persons.  It is not made out unless the neglect constitutes a marked and substantial departure from a reasonable standard of care.  In the instant case, the issue is whether there was a want of care in the manner in which the officers engaged with the Complainant, sufficiently egregious to attract criminal sanction, that caused or contributed to the collision.  In my view, there was not.Though there are aspects of the manner in which theOPPofficers engaged with the Complainant that are subject to legitimate scrutiny, they fall short of establishing a marked departure from a reasonable standard of care in the circumstances, particularly when weighed against a number of extenuating considerations.  In particular, as far as the officers knew, the Complainant andCW#1 were wanted for property-related offences, a point made by the sergeant supervising the pursuit on a couple of occasions when ordering his officers to stand-down.  And yet, the officers continued to press the issue even when it was clear the trucks were not about to stop.  In so doing, the officers risked personal injury coming to themselves, the Complainant andCW#1, and third-party traffic.On the other hand, it would be going too far to conclude that the officers involved on the roads with the Complainant andCW#1 explicitly defied the supervising sergeant in persisting with their efforts to stop the pick-up trucks.  On the occasions thatWO#3 had directed his officers to discontinue pursuit, he subsequently conveyed authority, whether tacit or explicit, to continue with their intervention efforts.  This is precisely what occurred when the sergeant, asked byWO#4 whether she was approved to attempt a rolling-block, provided that approval.  It is also what took place ahead of theSOdeploying his spike belt at the conclusion of the pursuit when, just before that occurred,WO#3 broadcast that the officers had one more opportunity to stop the pick-up trucks.It is also fair to say that the conditions that prevailed at the time of the pursuit were not clearly or necessarily prohibitive.  If the offences for which the Complainant andCW#1 were property-related, they were on the serious end of the spectrum – including ‘hit and runs’.  Moreover, while the roads were wet, there was little traffic on the roadway - an important factor in assessing the reasonableness of the spike belt deployment by theSO.  On this point, it is important to note that the Complainant’s loss of control and eventual crash does not appear to have been caused by the spike belt deployment; that is, the evidence suggests his pick-up truck did not traverse the spike belt.In the result, as there are no reasonable grounds to conclude that theSO, or any of the officers who had a role in the pursuit that preceded the Complainant’s motor vehicle collision, transgressed the limits of care prescribed by the criminal law, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	April 6, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2357
,Ontario Provincial Police,Niagara,Ontario,r\n\nCause of Death The pathologist at autopsy was of the preliminary view that the cause of the Complainant’s death was attributable to a ‘penetrating crossbow bolt injury to head’,"The offence that arises for consideration is criminal negligence causing death contrary to section 220 of theCriminal Code.  The offence is reserved for serious cases of neglect that demonstrate a wanton or reckless disregard for the lives or safety of other persons.  It is predicated, in part, on conduct that amounts to a marked and substantial departure from the level of care that a reasonable person would have exercised in the circumstances.  In the instant case, the question is whether there was a want of care on the part of anyOPPofficer, sufficiently egregious to attract criminal sanction, that caused or contributed to the Complainant’s death.  In my view, there is no such misconduct disclosed in the evidence.The officers who convened on the property and then entered the home were lawfully placed throughout the police operation that culminated in the discovery of the Complainant.  They had been called to the scene by residents of the home fearful that the Complainant might do harm to them and himself, and were duty-bound to do what they reasonably could to prevent that harm from materializing.I am also satisfied that the police comported themselves, in the design and implementation of their plans of action, with due care and regard for public safety, including the health and well-being of the Complainant.  The first priority was to contain the situation and ensure the safety of the Complainant’s family members.  This they accomplished in short order soon after the first officers’ arrival at the scene and with the establishment of a perimeter around the house.  They then made every effort to communicate with the Complainant.  Regrettably, whether because he was already incapacitated or simply unwilling, none of those measures were successful.  When those efforts had run their course and it became apparent that the Complainant could or would not answer, the decision was taken to enter the home.  I am unable to faultWO#1 or any of the officers under his ultimate command for waiting as long as they did before adopting a more proactive posture.  The police had been advised that the Complainant was unstable and had access to multiple long guns, crossbows, and knives in the house.  In the circumstances, they were within their rights in exhausting all communication efforts from outside the home before they ventured inside.  As they still could not be sure of the Complainant’s status or intentions, the tactical officers acted reasonably when they first deployed robotics and the dog to see if the Complainant could be located ahead of their advance.  On this record, the evidence does not give rise to any concerns that the police failed to act with the necessary dispatch.It remains unclear at the end of the investigation when precisely the Complainant inflicted his mortal wound with the use of the crossbow.  It is possible that might have occurred before the arrival of any police officer at the scene.  Be that as it may, as there are no reasonable grounds to believe that any of the officers who took part in the police operations that day transgressed the limits of care prescribed by the criminal law, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	March 27, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2344
,Ontario Provincial Police,Essa,Ontario,The Complainant had suffered a fractured jaw in the process,"The offence that arises for consideration is dangerous driving causing bodily harm contrary to section 320.13(2) of theCriminal Code.  As an offence of penal negligence, a simple want of care will not suffice to give rise to liability.  Rather, the offence is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have observed in the circumstances.  In the instant case, the issue is whether there was a want of care in the manner in which theSOoperated his vehicle, sufficiently egregious to attract criminal sanction, that caused or contributed to the collision.  In my view, there was not.There are aspects of theSO’s conduct that are disconcerting.  His speeds, substantially in excess of the 80 km/h speed limit, were inherently dangerous, topping out at one point at 200 km/h.  The fact that theSOtravelled at these speeds to stop a vehicle for a traffic offence – speeding – is also troubling.  When those circumstances are coupled with the fact that the officer did so in apparent contravention ofOPPpolicy forbidding unmarked vehicles from partaking in a pursuit, prohibiting pursuits for non-criminal offences, and requiring that pursuing officers broadcast their actions and the actions of the pursued vehicle to their communications centre, I am satisfied that theSOwas not only in seeming breach of policy, but an objective danger to other users of the roadway.Notwithstanding theSO’s serious indiscretions, however, I am not satisfied that the officer’s conduct departed markedly from a reasonable standard of care such as to render it criminal.  Pursuant to section 128(13)(b) of theHighway Traffic Act, police officers engaged in the execution of their duties are exempt from the speed limitations.  This does not mean that officers are free to speed as they wish – public safety is always their primary obligation.  However, it is a mitigating factor in the reasonableness analysis required by the criminal law.  It is also important to note that theSOhad activated his emergency lights and, for the latter portion of the pursuit, his siren, and appears not to have caused other motorists to take evasive action.  Finally, it is not entirely clear to what extent theSO’s driving had a causal impact on the crash.  I accept that theCWdrove recklessly in part, at least, to get away from theSO’s cruiser, but it is worth noting that she seems to have been engaged in a course of dangerous driving even before her run-in with the officer.In the final analysis, when theSO’s driving behaviour is considered in its totality, there is insufficient evidence to reasonably conclude that the officer transgressed the limits of care prescribed by the criminal law.  As such there is no basis for moving forward with charges in this case.Date:	March 9, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2336
,Timmins Police Service,Niagara,Ontario,The Complainant was transported to the police station and then to hospital where he was diagnosed with a broken nose,Special Investigations Unit,https://www.siu.on.ca/en/directors_report_details.php?drid=2341
,Toronto Police Service,Kingston,Ontario,CW 2 was fortunate to have escaped serious injury,"The offence that arises for consideration is dangerous driving causing bodily harm contrary to section 320.13(2) of theCriminal Code.  As an offence of penal negligence, a simple want of care will not suffice to give rise to liability.  Rather, the offence is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have observed in the circumstances.  In the instant case, the issue is whether there was a want of care in the manner in which theSOoperated his vehicle, sufficiently egregious to attract criminal sanction, that caused or contributed to the collision.  In my view, there was not.TheSOwas in the lawful discharge of her duties when she decided to stopCW#2 and initiated a pursuit to do so.CW#2 was operating his vehicle dangerously and was subject to sanctions for his driving indiscretions.Having made the decision to pursue, I am unable to reasonably conclude that theSOfailed to comport herself with the care and regard required of the criminal law.  There are two aspects of the officer’s conduct that merit particular scrutiny.  First, having decided to activate her emergency equipment to pursueCW#2, she should have promptly notified her communications centre of what she was doing.  This puts senior officers in the position of monitoring a pursuit with the authority to terminate it if necessary on public safety grounds.  TheSO’s failure to do so effectively precluded this fail-safe from operating.  Second, theSOtravelled through an amber/red light at Rexdale Boulevard without stopping, and without the use of her siren.On the other side of the ledger, theSOdid have her emergency lights operating for most of her engagement withCW#2, giving notice to other motorists in the vicinity of the pursuit.  Her speeds were at times high but never grossly in excess of the speed limit over any extended period of time.  She did travel through a red light, but the light had just changed to red from amber as she entered the intersection.  Lastly, it is important to note that the officer’s interventions were short-lived in time and distance – about a kilometre-and-a-half and under a minute.  During that period, there is nothing to suggest that theSOunduly pushed or fueledCW#2’s reckless driving.In the result, as I am not satisfied that theSOtransgressed the limits of care prescribed by the criminal law, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	March 7, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2331
,Ontario Provincial Police,Bluewater,Ontario,The Complainant was taken in ambulance from the scene to hospital where her injuries were diagnosed and treated,"The offence that arises for consideration is dangerous driving causing bodily harm contrary to section 320.13(2) of theCriminal Code.  As an offence of penal negligence, a simple want of care will not suffice to give rise to liability.  Rather, the offence is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have observed in the circumstances.  In the instant case, the issue is whether there was a want of care in the manner in which theSOoperated his vehicle, sufficiently egregious to attract criminal sanction, that caused or contributed to the collision.  In my view, there was not.There is little doubt that theSOis responsible for the collision.  The Complainant had the right-of-way and the officer was legally obligated to refrain from turning left until he could do so safely.That said, I am unable to reasonably conclude on the evidence that the officer’s conduct amounted to a marked departure from a reasonable standard of care in the circumstances.  He says that he simply did not see the Complainant and believed his path was clear as he travelled into the crosswalk.  I am left to take theSOat his word as there is nothing in the evidence, aside from the collision itself, to suggest that the officer was distracted when he ought not have been.  For example, the evidence indicates he was not engaged at the time with his mobile workstation.  TheSOsays that the spotlight and radar mounts inside his vehicle may have impeded his vision.  In different circumstances, that evidence might attract criminal sanction if the officer was aware of the sightline obstructions and had done nothing to rectify the situation.  There is insufficient evidence of that having happened in this case.  In the final analysis, I am satisfied that the officer’s indiscretion may fairly be characterized as a momentary lapse of attention, which, as the case law makes clear, will generally not be enough to ground criminal lability.In the result, as there are no reasonable grounds to believe that theSOtransgressed the limits of care prescribed by the criminal law with respect to the collision he caused, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	March 10, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2332
,Kingston Police,Kingston,Ontario,r\n The Complainant was taken from the scene in ambulance to hospital and reportedly diagnosed with a collapsed lung,,https://www.siu.on.ca/en/directors_report_details.php?drid=2333
,London Police Service,Horton,Ontario,The most serious injury was one to his left ear much of which had been ripped off by the police service dog,"Pursuant to section 25(1) of theCriminal Code, police officers are immune from criminal liability for force used in the course of their duties provided such force was reasonably necessary in the execution of an act that they were required or authorized to do by law.The Complainant was subject to lawful arrest at the time theSOreleased the police service dog.  There were a number of warrants out for his arrest, he had violated the terms of a release order requiring that he abide by a curfew, and he had been operating a stolen vehicle and trailer.I am also satisfied that theSO’s decision to send the police service dog after the Complainant constituted a legally justifiable use of force.  Police dogs are among the tools at an officer’s disposal to locate and capture subjects attempting to conceal themselves or flee from arrest.  The Complainant was doing just that.  The evidence indicates that he was aware, at least at several discrete points during his travels that day, that the police were after him.  On each of these occasions, the Complainant had made it clear that he was not inclined to surrender into police custody.  Against this backdrop, having been located trying to hide on the grounds of the townhouse complex, and having fled notwithstanding theSO’s direction to the contrary, the use of the police service dog to thwart the Complainant’s flight would appear a reasonable tactic in the circumstances.  There was some urgency in taking the Complainant into custody, and a real risk that he might successfully escape if not for the dog.The fact that the police service dog caused injury to the Complainant also raises questions of possible criminal negligence.  Certainly, any time a police dog is deployed in these types of circumstances, there is potential for injury to the subject.  As I understand it, police dogs are trained to bark and hold when a subject stops their flight and effectively surrenders.  Where that does not happen, a police dog is expected to bite and hold pending the arrival of the dog handler.  The number of bites should be the minimum required to subdue a subject, and the neck and head area are to be avoided.  In the instant case, the Complainant suffered a gruesome injury – his left ear was severed – at the hands of the dog.  He was also bit multiple times.  There is a claim put forth that the Complainant offered no resistance to the dog.  That evidence is contested to an extent by the police evidence.  Be that as it may, I am satisfied the evidence falls short of any reasonable belief that theSOtransgressed the limits of care prescribed by the criminal law in connection with the use of the dog.The offence that arises for consideration in this context iscriminal negligence causing bodily harmcontrary to section 221 of theCriminal Code.  The offence is reserved for serious cases of neglect that demonstrate a wanton or reckless disregard for the lives or safety of other persons.  It is predicated, in part, on conduct that amounts to a marked and substantial departure from the level of care that a reasonable person would have exercised in the circumstances.  Had there been any notice of a real risk that the police service dog would, without warrant, inflict the type of serious injury suffered by the Complainant, there might have been an articulable case for liability under this section.  However, having examined the dog’s history and training, no such flags were raised.  As far as the evidence suggests, the police service dog was fully certified and qualified for a deployment of this nature.  On this record, the evidence does not meet the threshold of criminal negligence when it comes to theSO.In the result, while it is highly regrettable that the Complainant was injured in the way he was by the police service dog, there are no reasonable grounds to believe that theSOcomported himself other than lawfully throughout their engagement.  As such, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	July 12, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2502
,Windsor Police Service,Niagara,Ontario,He was eventually diagnosed with two right lateral rib fractures,,https://www.siu.on.ca/en/directors_report_details.php?drid=2324
,Halton Regional Police Service,Brant,Ontario,She was diagnosed with multiple internal injuries including fractures and organ lacerations,,https://www.siu.on.ca/en/directors_report_details.php?drid=2298
,Greater Sudbury Police Service,Greater Sudbury,Ontario,n r\n The evidence collected by the SIU including an interview with the Complainant and several members of the GSPS present at the time of the events in question gives rise to the following scenario As was his legal right the SO chose not to interview with the SIU or authorize the release of his notes The Complainant was arrested in the early morning hours of October 2 2022 following a traffic stop In the course of that stop officers had confirmed that the Complainant a passenger was wanted on outstanding warrants The Complainant was taken into custody and transported to the police station While lodged in cells an officer observed drugs in the Complainant’s possession and alerted the officer-in-charge – WO 1 Confronted with what he was doing the Complainant indicated that he had flushed the drugs down the toilet Concerned that he might still have drugs on his person WO 1 ordered the Complainant be strip searched The Complainant was removed from his cell and escorted to a private room to be strip searched The SO and WO 6 and WO 7 were directed to conduct the search Upon request the Complainant gave up the shirt he was wearing It was searched with negative results and then returned to him Asked to take off his pants however the Complainant inserted his right hand down his pants refused to remove it when asked and was grounded by the officers While on the ground the officers assisted by two special constables wrestled to control the Complainant who was thrashing about The Complainant’s pants were removed and illegal substances confiscated from them A packet with suspected illegal drugs fell from the area of the Complainant’s anus and scrotum when his boxer shorts were pulled below his buttocks Following the search the Complainant informed the officers that he had ingested about two grams of fentanyl Paramedics were summoned to the station examined the Complainant and took him to hospital.\n,,https://www.siu.on.ca/en/directors_report_details.php?drid=2293
,,Ajax,Ontario,CW 4 was fortunate to have escaped serious injury,,https://www.siu.on.ca/en/directors_report_details.php?drid=2297
